"state","startdate","enddate","pollster","grade","samplesize","rawpoll_clinton","rawpoll_trump","rawpoll_johnson","poll_id","result","grade_value","actual_clinton","actual_trump","actual_johnson","actual_other","predicted","is_correct","duration","is_national","end_date_to_election","error"
"U.S.","10/27/2016","10/30/2016","ABC News/Washington Post","A+",1128,45,46,3,47881,"Trump",12,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Trump",TRUE,3,TRUE,10,1.40026126426193
"Virginia","10/27/2016","10/30/2016","ABC News/Washington Post","A+",1024,48,42,6,47880,"Clinton",12,45.9096642176103,48.844086543126,3.0738862379495,2.17236300131419,"Clinton",TRUE,3,FALSE,10,3.95351202918875
"U.S.","10/25/2016","10/31/2016","Google Consumer Surveys","B",24316,37.69,35.07,6.18,47940,"Trump",8,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,6,TRUE,9,8.41455174469641
"Florida","10/20/2016","10/24/2016","SurveyUSA","A",1251,48,45,2,47465,"Trump",11,47.7880523077743,49.0639997869337,2.19465736277199,0.953290542520036,"Clinton",FALSE,4,FALSE,16,1.49020161397715
"U.S.","10/20/2016","10/25/2016","Pew Research Center","B+",2120,46,40,6,47616,"Trump",9,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,5,TRUE,15,3.94121841136307
"U.S.","10/22/2016","10/25/2016","Fox News/Anderson Robbins Research/Shaw & Company Research","A",1221,44,41,7,47542,"Trump",11,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,3,TRUE,15,4.60788507802974
"U.S.","10/26/2016","10/31/2016","IBD/TIPP","A-",1018,44.6,43.7,4.2,47875,"Trump",10,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,5,TRUE,9,2.5745517446964
"Pennsylvania","10/25/2016","10/30/2016","Gravis Marketing","B-",3217,47,44,3,47867,"Trump",7,47.6491459868307,48.7921070761378,2.38945466136537,1.16929227566609,"Clinton",FALSE,5,FALSE,10,2.01726613386773
"U.S.","10/23/2016","10/27/2016","Ipsos","A-",1158,41.7,36.4,6.3,47643,"Trump",10,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,4,TRUE,13,6.67455174469641
"U.S.","10/29/2016","10/31/2016","The Times-Picayune/Lucid","",2600,42,40,5,47995,"Trump",NA,47.1955803106172,47.8166392028203,3.18856427934829,1.7992162072142,"Clinton",FALSE,2,TRUE,9,4.94121841136307
